№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
58,梅田ＮＯＲＩ内科・消化器内科クリニック,530-0018,北区小松原町３－３,ＯＳビル８階,6131-1085,北区,,,,,,,,,,,,○,○,,135.5002363,34.70284445
59,社会医療法人行岡医学研究会行岡病院,530-0021,北区浮田２―２―３,,6371-9921,北区,,,○,○,○,○,○,○,○,○,,○,○,,135.5093044,34.71019631
60,大原クリニック,530-0021,北区浮田２―１―１２,アパ大阪天六ビル６階,6371-3330,北区,,,,,,,,,,,,○,○,,135.5097321,34.71065456
61,富野医院,530-0022,北区浪花町１４－３５,,6371-1816,北区,,,,,,,,,,,,○,○,,135.5106074,34.70987828
62,医療法人東田クリニック,530-0022,北区浪花町１２－１９,,6359-1310,北区,,,,,,,,,,,,○,○,,135.5101344,34.70878035
63,医療法人天満ＳＯＲＡクリニック,530-0022,北区浪花町４－９,,6131-4898,北区,,,,,,,,,,,○,○,○,,135.5097963,34.70731094
64,公益財団法人田附興風会医学研究所　北野病院,530-0025,北区扇町２―４―２０,,6312-1221,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5063191,34.7051585
65,社会福祉法人　北慶会　北野よろこび苑,530-0026,北区神山町１５―１２,,6311-4652,北区,,,,,,,,,,,,○,○,,135.5047277,34.7041756
66,医療法人医心会扇町メディカルクリニック,530-0026,北区神山町１―７,アーバネックス神山町ビル２Ｄ,6364-2022,北区,,,,,,,,,,,,○,○,,135.5068182,34.70254855
67,リブ再生クリニック,530-0026,北区神山町１－７,アーバネックス神山町ビル３階３Ｃ,6131-3003,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5068182,34.70254855
68,医療法人石井クリニック,530-0031,北区菅栄町１０―１２,,6357-3313,北区,,,○,,,,○,○,○,○,,○,○,,135.5126671,34.70890897
69,中川内科クリニック,530-0031,北区菅栄町１３―１４,,6351-1397,北区,,,○,○,,○,○,○,○,○,○,○,○,,135.5133334,34.71001696
70,松田内科医院,530-0033,北区池田町１７―１４,,6351-6902,北区,,,,,,,,,,,,○,,,135.5127395,34.70850414
71,医療法人　八杉クリニック,530-0033,北区池田町１―７５,ストークマンション１０１―３,6353-0505,北区,,,○,○,○,○,○,○,○,○,○,○,○,○,135.5156303,34.70618344
72,ハタノクリニック,530-0033,北区池田町１５―６,,6351-5078,北区,,,,,,,,,,,,○,○,,135.5127722,34.70783378
73,医療法人天五診療所,530-0033,北区池田町６－１０－２０１,,6355-1000,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5123903,34.70754588
74,うえやま内科,530-0036,北区与力町２―１６―１０１,ローレルコート与力町エルグレース,6135-0161,北区,,,,,,,○,○,○,○,○,○,○,,135.512764,34.7005607
75,安達クリニック,530-0037,北区松ケ枝町１―３,いちご南森町ビル,6358-1008,北区,,,○,○,○,○,○,○,○,○,,○,○,,135.5177893,34.69821494
76,ふくだあやしレディースクリニック,530-0038,北区紅梅町１－６,カザリーノビル１階,6354-0088,北区,,,,,,,,,,,○,○,○,,135.513904,34.69846827
77,坂上内科,530-0041,北区天神橋２―３―１０,,6351-2273,北区,,,,,,,,,,,,○,○,,135.5112149,34.69685776
78,辰巳診療所,530-0041,北区天神橋３―６―２２,,6351-5971,北区,,,,,,,,,,,,○,○,,135.5119796,34.70162768
79,医療法人清和会　中川整形外科,530-0041,北区天神橋２丁目北１－１１,ステップイン南森町ビル２Ｆ,6353-5503,北区,,,,,,,,,,,,○,,,135.5117508,34.69800524
80,川島産婦人科クリニック,530-0041,北区天神橋５－５－２３,,6351-2374,北区,,,,,,,,,,,○,,,,135.5117892,34.708615
81,医療法人コスモス会フジモト整形外科,530-0041,北区天神橋６―５―７,天六ビル３Ｆ,6351-1991,北区,,,,,,,,,,,,○,,,135.5113051,34.70906916
82,医療法人　山尾診療所,530-0041,北区天神橋２―４―２２,,6352-4288,北区,,,,,,,,,,,,○,○,,135.5123464,34.69687793
83,祐斎堂森本クリニック,530-0041,北区天神橋５―７―１０,さかしん天神橋ビル２Ｆ,4800-3010,北区,,,,,○,○,○,○,○,○,,○,○,,135.5110036,34.70707464
84,医療法人　河野医院,530-0041,北区天神橋３―１―１０,,6351-3829,北区,,,,,,,○,○,,,,○,○,,135.511704,34.69884515
85,耳鼻咽喉科しおたにクリニック,530-0041,北区天神橋６－６－１９,エレガントビル南館２０１号,4801-3687,北区,,,,,,,,,,,,○,,,135.5112178,34.70942138
86,クリニック小早川,530-0041,北区天神橋２―２―２３,,4801-0212,北区,,,,,,,,,,,,○,○,,135.5117267,34.69605071
87,南森町レディースクリニック,530-0041,北区天神橋２―５―２５,若杉グランドビル本館１階,6356-2824,北区,,,○,○,○,○,○,○,○,,○,○,,,135.5131923,34.69719078
88,わかい内科・循環器科,530-0041,北区天神橋６―６―４,平蔵ビル３Ｆ,4801-7776,北区,,,,,,,,,,,○,○,○,,135.5112321,34.70886589
89,医療法人　桜医会　天神橋さくらクリニック,530-0041,北区天神橋５－７－１８,,6353-6446,北区,,,,,,,,,,,,○,,,135.5112468,34.70757102
90,いわいレディースクリニック,530-0041,北区天神橋４－１１－６,,6882-8686,北区,,,,,,,,,,,○,○,,,135.5114205,34.70584083
91,小西耳鼻咽喉科,530-0041,北区天神橋５－７－１１,,6351-3387,北区,,,,,,,,,,,,○,,,135.5110079,34.70719918
92,はせがわ診療所,530-0041,北区天神橋３－２－１０,新日本南森町ビル５Ｆ,6356-2744,北区,,,,,,,,,,,,○,○,,135.5111048,34.69913785
93,医療法人眞鳳会　福効医院,530-0041,北区天神橋６－３－１６,朝日生命天六ビル３Ｆ,6358-8208,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5120977,34.71039572
94,天神橋みやたけクリニック,530-0041,北区天神橋３－２－１３,大阪謄写館ビル２階,6809-7295,北区,,,,,,,,,,,,○,○,,135.5110956,34.69942686
95,医療法人にしぐち小児科,530-0041,北区天神橋３－７－２６,,4801-8858,北区,○,○,○,○,○,○,○,○,○,○,○,,,○,135.5114932,34.70119512
96,医療法人佐藤内科クリニック,530-0041,北区天神橋４丁目６番１４号,亀甲ビル１階,6353-3838,北区,,,,,,,,,,,,○,○,,135.5115068,34.70314722
97,医療法人光誠会　和皮ふ科クリニック,530-0041,北区天神橋５－７－１０,さかしん天神橋ビル４Ｆ,6881-1000,北区,,,,,,,,○,,,,○,,,135.5110036,34.70707464
98,医療法人天神橋ゆかこレディースクリニック,530-0041,北区天神橋６－６－１１,エレガントビル大阪２Ｆ,6314-6651,北区,,,,,,,,,,,○,○,,,135.5109409,34.7094745
99,あらきクリニック,530-0041,北区天神橋３－５－１７,,6351-1907,北区,,,,,,,○,○,,,,○,○,,135.5116046,34.70109823
100,天神橋クリニック,530-0041,北区天神橋６－７－１０,ＧＡＺＥＬＬＥ　ＲＩＯ．６　３Ｆ,6353-7301,北区,,,,,,,,,,,,○,○,,135.5109141,34.71027434
101,加藤皮膚科,530-0042,北区天満橋１―８―３０,ＯＡＰタワー１２階,6356-3312,北区,,,,,,,,,,,,○,,,135.5192307,34.69999421
102,医療法人杉浦内科ＯＡＰ診療所,530-0042,北区天満橋１―８―３０,ＯＡＰタワー１２階,6351-1600,北区,,,,,,,,,,,,○,,,135.5192307,34.69999421
103,医療法人　増原クリニック,530-0042,北区天満橋３－４－２,,6358-0200,北区,,,,,,,,,,,,○,,,135.5167559,34.70386653
104,田淵医院,530-0043,北区天満１―１９―１,,6351-4873,北区,,,,,,,,,,,,○,○,,135.5179872,34.69424163
105,鈴木クリニツク,530-0043,北区天満２―１―６,天満橋ＭＳビル２階,6352-3560,北区,,,,,,,,,,,,○,○,,135.5167086,34.69213577
106,あかさかファミリークリニック,530-0043,北区天満２－１５－１５,２階・３階,6882-1515,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5166354,34.6958063
107,上道医院,530-0044,北区東天満２―５―４,,6351-2375,北区,,,,,,,,,,,,○,,,135.5158425,34.69737079
108,ゆかり皮膚科,530-0044,北区東天満２－４－１５,森ビル１Ｆ,6354-5006,北区,,,,,,,,,,,,○,,,135.5160112,34.69822071
109,いきいきクリニック,530-0046,北区菅原町１０－３２,ＤＡＩＸ西天満３Ｆ,6360-6588,北区,○,○,○,,○,○,○,○,○,○,,○,○,,135.5113485,34.69366118
110,木村クリニック,530-0047,北区西天満４―１２―１７,サンキムラビル６Ｆ,6365-9646,北区,,,○,○,,,○,,,,○,○,○,,135.5023474,34.69736052
111,佐野医院,530-0047,北区西天満３―１４―１６,西天満パークビル３号館地階,6364-6055,北区,,,,,,,,,,,,○,○,,135.5066554,34.6976375
112,東梅田かなもりクリニック,530-0051,北区太融寺町６－８,阪急産業梅田ビル９Ｆ,6755-4501,北区,,,,,,,,,○,,○,○,○,,135.5024568,34.70199795
113,東梅田内本泌尿器科,530-0051,北区太融寺町５－１５,梅田イーストビル２階,6365-3885,北区,,,,,,,,,,,○,○,,,135.5033927,34.70209614
114,不藤医院,530-0052,北区南扇町７―２―１０２,センチュリーパーク　ユニ東梅田１Ｆ,6311-3796,北区,,,,,,,,,,,,○,○,,135.5076101,34.7018328
115,医療法人　仁泉会　中村クリニック,530-0054,北区南森町２－１－２９,三井住友銀行南森町ビル９階,6316-1021,北区,,,,,,,,,,,,○,○,,135.5107359,34.69774396
116,医療法人愛生会　扇町レディースクリニック,530-0055,北区野崎町１－２０,,6311-2511,北区,,,,,,,,,,,○,○,,,135.5079118,34.70164766
117,山本梅新診療所,530-0057,北区曽根崎１－２－８,,6363-3010,北区,,,,,,,,,,,○,,,,135.5025867,34.69830343
118,医療法人見宜堂　梅田血管外科クリニック,530-0057,北区曽根崎２－１－１２,国道ビル５Ｆ,6311-2856,北区,,,,,,,,,,,,○,○,,135.5018009,34.69844672
119,医療法人ＯＳＴ　サニークリニック,530-0057,北区曾根崎２－１２－４,コフレ梅田７階,7639-7200,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4997703,34.70090571
120,社会福祉法人平成福祉会　介護老人保健施設老健そねざき,530-0057,北区曽根崎１－１－２０,,7501-8689,北区,,,,,,,,,,,,○,○,,135.5040917,34.69863467
121,社会福祉法人平成福祉会　特別養護老人ホーム平成曽根崎苑,530-0057,北区曽根崎１－１－２０,,7501-8690,北区,,,,,,,,,,,,○,○,,135.5040917,34.69863467
122,大ビル湯徳医院,530-6105,北区中之島３－３－２３,,6445-0934,北区,,,,,,,,,,,,○,○,,135.4935458,34.69354512
123,社会医療法人　協和会　加納総合病院,531-0041,北区天神橋７―５―１５,,6351-5381,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5115026,34.71261216
124,社会医療法人協和会北大阪クリニック,531-0041,北区天神橋７―６―２１,,6351-2228,北区,,,,,,,,,,,,○,,,135.5111379,34.71226714
125,医療法人朋詠会　たむらクリニック,531-0041,北区天神橋８－９－１０,,6242-0140,北区,,,,,○,,○,,,,,○,○,,135.5117835,34.71684923
126,ほその耳鼻咽喉科,531-0041,北区天神橋７－６－３,４Ｆ,4800-8733,北区,,,,,,,,,,,,○,,,135.5108899,34.7118361
127,医療法人　さたクリニック,531-0062,北区長柄中１―５―１６,,6358-2503,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.515519,34.71151836
128,樋口医院,531-0062,北区長柄中１―６―６,,6351-3931,北区,,,○,○,○,○,○,○,○,○,○,○,○,○,135.5150523,34.71165751
129,医療法人みなとクリニック,531-0063,北区長柄東１―４,さざなみ団地２４号棟１０２,6356-7381,北区,,,,,,,○,,,,○,○,○,,135.5172428,34.7119299
130,隅医院,531-0071,北区中津３―８―１５,,6371-9590,北区,,,,,,,,,,,,○,,,135.4942757,34.71242933
131,岡本医院,531-0071,北区中津３－１７－１,,6371-0567,北区,,,,,,,,,,,,○,,,135.493718,34.71105701
132,杉立クリニック,531-0071,北区中津１―１２―１１―２０２,メロディハイム２Ｆ,6372-0876,北区,,,,,,,,,,,,○,○,,135.4971348,34.71157797
133,菅本医院,531-0071,北区中津４―５―６,,6371-4080,北区,,,,,,,,,,,,○,○,,135.4910439,34.71152916
134,医療法人　美和会　平成クリニック,531-0071,北区中津１－１１－６,,6292-0006,北区,,,,,,,,,,,,○,○,,135.4963485,34.71110594
135,せお内科クリニック,531-0071,北区中津１－２－２１,中津明大ビル１階,6373-2222,北区,,,,,,,,,,,,○,○,,135.4960788,34.70937732
136,医療法人光輪会　さくらクリニック,531-0071,北区中津２－８,中津リバーサイドコーポＥ棟１階,6743-4066,北区,,,,,,,○,,,,,○,○,,135.4966188,34.71506424
137,中嶋医院,531-0072,北区豊崎１―８―２０,,6371-5547,北区,,,○,○,,,○,○,○,○,○,○,○,,135.504025,34.71147775
138,橋岡内科小児科診療所,531-0072,北区豊崎３－１５－９,,6373-0263,北区,,,,,,,,,,,,○,,,135.498065,34.71090484
139,若月クリニック,531-0072,北区豊崎１―６―８,,6372-2002,北区,,,,,,,,,,,,○,,,135.5033934,34.71071439
140,ヤマダ医院,531-0072,北区豊崎５―６―１０,商業ビル１階,6372-8558,北区,,,,,,,,,,,,○,○,,135.498291,34.71234677
141,まつおかレディースクリニック,531-0072,北区豊崎３－２０－１０,大明ビル２Ｆ,6377-8601,北区,,,,,,,,,,,○,○,○,,135.4963734,34.70951884
142,Ａ＆Ｏクリニック大阪中津,531-0072,北区豊崎３－１３－６,ＷＩＮＧ北梅田３階,6225-8225,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4983799,34.71018394
143,樋口医院,531-0073,北区本庄西２ー５ー２６,,6375-3636,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5065534,34.71306185
144,福）幸聖福祉会診療所,531-0073,北区本庄西２―６―１５,,6371-6233,北区,,,,,,,,,,,,○,,,135.5064338,34.7140395
145,イークリニック,531-0073,北区本庄西１ー１３ー１５,ファッションナオミ１階,6292-0155,北区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5040579,34.71180665
146,中村ファミリークリニック,531-0073,北区本庄西２―６―１６,,6371-8522,北区,,,,,,,,,,,,○,○,,135.5064875,34.71357586
147,社福）幸聖福祉会　特別養護老人ホーム　藤ミレニアム,531-0073,北区本庄西２―６―１５,,6371-6233,北区,,,,,,,,,,,,○,,,135.5064338,34.7140395
148,田上医院,531-0074,北区本庄東１―１―１８,,6371-1454,北区,,,,,,,,,,,,○,○,,135.5092682,34.71126952
149,医療法人　至心会　整形外科もりたクリニック,531-0074,北区本庄東２－１－２３,,6373-8686,北区,,,,,,,,,,,,○,○,,135.5105079,34.71285116
150,のだこどもクリニック,531-0074,北区本庄東１－１－１０,ＲＩＳＥ８８ビル１階,6136-7205,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5093284,34.71086606
151,みずのクリニック,531-0074,北区本庄東２－１０－２１,メゾンドアヴェルＩＶ　１階,6459-7680,北区,,,○,○,○,○,○,○,○,○,○,○,○,○,135.5075034,34.71377858
152,大阪ヘルスケアクリニック,531-0074,北区本庄東１－２２－１,,6372-8639,北区,,,,,,,,,,,○,○,○,,135.5077057,34.71049567
153,かしいクリニック,531-0076,北区大淀中３－１１－３２,,6451-8864,北区,,,,,,,○,,○,,,○,○,,135.485818,34.70556138
154,医療法人悠弘会　愛和クリニック,531-0076,北区大淀中２－２－１３,,6458-1571,北区,,,,,,,,,,,,○,○,,135.4856168,34.7030797
155,医療法人恵生会　吉本診療所,531-0076,北区大淀中３－２－１２,,6453-0910,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.483746,34.70312377
156,医療法人福愛会　いんべクリニック,531-6007,北区大淀中１－１－８８,梅田スカイビルタワーイースト７階,6452-1101,北区,,,,,,,,,,,○,○,○,,135.4906514,34.70501528
157,おぐる医院,534-0001,都島区毛馬町２ー１１－３６ー１０７,,6925-3770,都島区,,,,,,○,○,○,,○,,○,○,,135.5235505,34.7218355
158,医療法人仁松会西脇診療所,534-0001,都島区毛馬町３―２―２,,6921-2255,都島区,,,,,,,,,,,○,○,○,,135.519358,34.72065285
159,コープ淀川クリニック,534-0001,都島区毛馬町４―４―６,,6927-1135,都島区,,,,,,,○,,,○,,○,○,,135.5214772,34.72352868
160,医療法人隆由会　整形外科おおたきクリニック,534-0001,都島区毛馬町２－１０－３３,,6922-0450,都島区,,,,,,,,,,,,○,,,135.5243123,34.72093486
161,こさか内科・内視鏡内科,534-0001,都島区毛馬町２－１－１４,,6926-3223,都島区,,,,,,,,,,,,○,○,,135.5240694,34.72041371
162,医療法人　池田医院,534-0002,都島区大東町１―９―１,,6921-1994,都島区,,○,○,○,○,○,○,○,○,○,○,○,○,,135.5290244,34.7225246
163,池田耳鼻咽喉科,534-0002,都島区大東町１－９－１,,6928-3741,都島区,,,,,,,,,,,,○,,,135.5290244,34.7225246
164,医療法人博勇会　大道医院,534-0002,都島区大東町２－２１－１２,,6921-5461,都島区,,,,,,,,,,,,○,○,,135.5283207,34.72620227
165,医療法人天野クリニック,534-0002,都島区大東町２－５－２４,,6927-7500,都島区,,,,,,○,○,○,○,○,,○,○,,135.5282428,34.72378439
166,医療法人新明会神原病院,534-0011,都島区高倉町１―１０―５,,6923-3351,都島区,,,,,,,,,,,,○,○,,135.5311983,34.71389784
167,平尾クリニック,534-0011,都島区高倉町３―５―３,,6925-1188,都島区,,,,,,,○,,,○,,○,○,,135.5317252,34.71880109
168,得能クリニック,534-0011,都島区高倉町１―１１―３,クオーレＶＥＧＡ２　１Ｆ,6925-3301,都島区,,,,,,,○,○,○,○,○,○,○,,135.5312029,34.71416929
169,きょうかわ整形外科クリニック,534-0011,都島区高倉町２―９―８,高倉マンション１階,6926-2835,都島区,,,,,,,,,,,,○,○,,135.53195,34.71756704
170,医療法人　こんどうクリニック,534-0011,都島区高倉町１丁目７番７号,,6924-7654,都島区,,,,,,,,,,,○,○,○,,135.5298226,34.71388056
