医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
ひろせクリニック,大阪市阿倍野区昭和町1丁目21-22,06-6621-0111,,,1,①月・火・水・金 ②木・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,1,,135.5174111,34.63301977,https://abeno-hiroseclinic.com/,,1,,,
いのうえ小児科　阪南クリニック,大阪市阿倍野区阪南町4-2-20,,1,,,月・水・木・金,13:30～14:30,予約はwebのみ,1,1,1,12歳,135.5133694,34.62686804,https://inoue-kids.com/,,1,,,
医療法人　田中クリニック,大阪市東住吉区西今川三丁目25番1号,,,1,,,,,,1,1,12歳,135.5332635,34.62719976,,,1,,,
医療法人　平山クリニック,大阪市天王寺区茶臼山町1番18号　天王寺エルムビル2階,06-6775-8585,,,1,月・火・木・金・土,9:00～12:00,,,1,,12歳,135.5134347,34.65056098,https://hirayama-mentalclinic.com/,,1,,,
あかさかファミリークリニック,大阪市北区天満2-15-15　2・3階,080-9567-4533,1,,1,火,13:30～15:30,かかりつけの親族、近隣の方等の受入可　Web予約開始は当院HP参照,,1,1,12歳,135.5166354,34.6958063,https://akasaka-family.com/,,1,,,
医療法人緑地会　赤尾クリニック,大阪市鶴見区緑三丁目2番15号,080-4959-2800,,,1,,,,1,1,,16歳,135.5630233,34.71309012,http://www.onyx.dti.ne.jp/ako/index.html,,1,,,
医療法人　賀陽会　かよう内科・小児科,大阪市旭区清水4-3-29,050-3163-8290,1,,1,,,定期診察の際に予約可,,1,1,12歳,135.5639496,34.720602,https://kayounaikasyounika.jimdofree.com/,かかりつけの方は応相談。,1,,01予約不可能,
医療法人　香仁会　鯰江内科クリニック,大阪市城東区今福西二丁目10番18号,06-6931-2722,,,1,月・火・木・金,9:00～12:00,,,1,1,12歳,135.5526067,34.69901809,http://www.jotoishikai.or.jp/a028/,,1,,,
福）隆生福祉会あまみクリニック,大阪市東住吉区矢田7-6-10,072-349-0363,,,1,,,特養ゆめあまみの入所者のみ接種,,1,,,135.5302113,34.59555299,https://smile-yume.com/amami/,,1,,,
趙診療所,大阪市西成区梅南2-5-17,06-6655-6660,,,1,月～土,9:00～12:30,,,1,,12歳,135.4907435,34.64206171,http://www.choshukai.com/,,1,,,
ふなうち内科クリニック,大阪市都島区友渕町2-1-5　ともぶちクリニックビル4階,06-4253-5070,,,1,,,,,1,,,135.5278996,34.71286555,https://funauchinaika-clinic.jp/,,1,,,
やすだクリニック,大阪市城東区今福東3丁目5番6号1階,070-8474-5711,,,1,,,予約開始日、時間については当院HP参照,,1,,16歳,135.5558491,34.70485145,https://yasuda-dm.jp/,,1,,,
橋内耳鼻咽喉科,大阪市鶴見区鶴見4-16-46,090-4288-3387,,,1,,,,1,,1,12歳,135.5639116,34.70287203,https://www.hashiuchi-clinic.com/,,1,,,
公益財団法人　聖バルナバ病院,大阪市天王寺区細工谷1-3-18,,1,,,,,,,1,1,,135.5239984,34.66275155,http://www.barnaba.or.jp/,,1,,,
かもめクリニック,大阪市港区夕凪2-16-9　ABMポートビル4階,06-4301-7883,1,,1,,16:45～17:00,予約上限に達すると留守電に切り替わります,,1,1,12歳,135.4511476,34.6609783,http://www.kamome-clinic.net/,,1,,,
医療法人浩陽会　やまだ耳鼻咽喉科,大阪市平野区喜連東2-1-48,06-4302-3387,,,1,,,,,1,1,12歳,135.5591088,34.61265832,http://yamada-jibika.com/,,1,,,
宮崎医院,大阪市東住吉区針中野3-10-20　ジェネスコート1階,06-4302-3588,,1,1,①月・火・水・金 ②木・土,①9:00～12:30 16:00～18:30 ②9:00～12:30,,,1,1,12歳,135.5338782,34.61667927,http://www.miyazakiiin.com/,,1,,,
医療法人晶瑛会　鈴木小児クリニック,大阪市淀川区宮原4-4-2　新大阪グランドハイツ1階,06-6396-7555,,,1,,診療時間内,,,1,1,12歳,135.4977092,34.73762348,https://suzuki-kids.mdja.jp/,,1,,,
医療法人誠仁会　さだ内科クリニック,大阪市平野区加美東1-13-44　OTMビル101,,,1,,,,,,1,,,135.5663371,34.63031558,http://www.sada-naika.jp/,,1,,,
うえに生協診療所,大阪市中央区玉造1-8-7,06-4304-3120,,,1,月～金,13:00～17:00,,1,1,1,12歳,135.5304712,34.67521442,https://uenishin.net/,,1,,,
医療法人　明潤会　すぎやま耳鼻咽喉科クリニック,大阪市鶴見区横堤3-11-14　レジョンドール鶴見緑地1階,06-4304-4976,,,1,火～金,10:00～12:30,通院患者は来院時予約可能,,1,,12歳,135.5731874,34.70342169,https://www.tsurumi.osaka.med.or.jp/info_2/662.html,,1,,,
医療法人　藤井こどもクリニック,大阪市中央区谷町7-1-50　アルス谷町c＇base2階,,1,,,,,かかりつけの家族、18歳以下の一般患者受入可,,1,1,12歳,135.517511,34.6731957,https://www.fujiikodomo.com/,,1,,,
医療法人永真会　おかのクリニック,大阪市平野区長吉六反2-5-6　ル・ヴィラージュ1階,06-4305-3941,,1,1,,10:30～12:00,,,1,1,,135.5792891,34.60627355,https://www.okano-clinic.info/,,1,,,
きむ循環器内科医院,大阪市天王寺区勝山3-6-8　SLビル3階,06-4305-6971,,,1,月・火・水・金,16:00～17:30,接種時点で18歳以上の方の受入可,1,1,1,,135.5244558,34.65417403,https://kim-junkankinaika.com/wp/,,1,,03予約可能,
あおきクリニック,大阪市天王寺区大道1-8-15　2F,06-4305-8600,,,1,,診療時間内,診療時間内,,1,,12歳,135.514286,34.65154759,http://aokiclinic.a.la9.jp/,,1,,,
福永医院,大阪市住之江区粉浜1-3-10,06-6678-1322,,1,1,土,10:00～12:00,,,1,1,16歳,135.492418,34.62160485,https://www.suminoe-med.or.jp/iin/hukunagaiin.html,,1,,,
宮本医院,大阪市生野区新今里3-22-8,06-4306-7701,,1,1,,,,,1,,12歳,135.5465643,34.65927884,http://www.ikunoku-shinimazato-miyamotoclinic.jp/,,1,,,
こどもとかぞくの整形外科　よしだクリニック,大阪市東住吉区今川3丁目12-12　クリニックモール今川 1階,,,1,,,,,,1,1,12歳,135.541387,34.62957283,https://seikei-yoshida.com/,,1,,03予約可能,
医療法人　たかせクリニック,大阪市港区波除3-9-14　ホッホM1階,,,1,,,,,,1,,,135.4625962,34.67038851,https://takase-clinic.jp/,,1,,01予約不可能,
医療法人　考優会　五味クリニック,大阪市大正区三軒家東1-19-3,,,1,,①月・火・木 ②水・金・土,①10:00～12:00 17:00～18:00 ②10:00～12:00,詳細医院HP参照 https://naika-gomi-clinic.com,,1,1,16歳,135.4785468,34.66412228,https://naika-gomi-clinic.com/,,1,,02若干空き有り,
笠井医院,大阪市大正区北村2-5-10,06-4394-7026,1,,,①月・火・水・金 ②木・土,①9:00～12:00 13:30～18:30 ②9:00～12:00,電話予約不可,1,1,1,12歳,135.4660963,34.65233988,http://kasai-cl.jp/,,1,,03予約可能,
社会福祉法人　秀生会　ザイオン診療所,大阪市港区市岡1-5-30,06-4395-8080,,,1,月・水・木・金,9:00～16:00,,1,1,1,,135.4621301,34.66437635,http://www.minato-med.or.jp/clinic/zaion.html,,1,,,
医療法人厳誠会　中川クリニック,大阪市阿倍野区阿倍野筋1丁目5番36号　アベノセンタービル地下1階,06-4396-6264,,,1,月～金,9:00～12:00,,,1,,,135.5120239,34.64663685,,,1,,,
医療法人理秀会　なんば南藤吉医院,大阪市浪速区敷津西2-1-8　インペリアル大国2階,06-4397-8787,,,1,①月～金 ②土,①9:30～12:30 16:30～18:30 ②9:30～12:30,,,1,,16歳,135.4976025,34.65665171,http://www.fujiyoshi-iin.com/,,1,,,
中山クリニック,大阪市浪速区日本橋東3-7-6,,,1,,,,,,1,1,,135.5074281,34.65650347,http://www.nakayama-clinic.jp/,,1,,,
田端医院,大阪市西成区天下茶屋東2-11-5,06-4398-3535,,1,1,,,,,1,,,135.502785,34.63882073,https://nishinari-med.or.jp/search/doc_info/area12_04.htm,接種日は不定期です。受付でご確認ください,1,,02若干空き有り,
医療法人なごみ会　なごみ診療所,大阪市東住吉区田辺4-12-14　ラポタナベ102号,06-4399-3250,,,1,,,土日接種可能,1,,1,12歳,135.5261232,34.62360842,,,1,,,
医療法人　加野医院,大阪市東住吉区駒川3-30-3,06-4399-3800,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 16:30～19:00 ②9:00～12:00,,,1,1,12歳,135.5307394,34.62197451,,,1,,03予約可能,
さわクリニック,大阪市阿倍野区阪南町4-2-29,06-4399-3811,,,1,①月・火・水・金 ②木・土,①9:00～12:00 15:00～18:00 ②9:00～12:00,,,1,,,135.5144371,34.62662311,,,1,,01予約不可能,
村田外科整形外科クリニック,大阪市東住吉区田辺2-11-33,06-4399-9220,,,1,月・火・木・金・土,9:00～12:00,,,1,,,135.5284701,34.62448395,,,1,,,
医療法人西山会　にしやま消化器内科,大阪市阿倍野区阪南町5-23-18　HIKARI　BLD．,090-4645-4407,1,,,,,,1,,1,12歳,135.5144489,34.62150042,https://www.nishiyama-naika.com/,,1,,,
医療法人桜正会　まえぼう内科クリニック,大阪市住吉区我孫子東2-8-27,06-4700-8800,,,1,,,,,1,1,12歳,135.5113094,34.59943784,https://www.maebo-naika.com/,,1,,,
医療法人旭医道会　中村クリニック,大阪市住之江区粉浜一丁目23番31号,090-2708-5735,,,1,①月・火・木・金 ②水・土,①9:30～12:00 13:00～18:30 ②9:30～12:00,,1,1,1,12歳,135.4916622,34.61965823,http://www.nakamura-clinic-osaka.or.jp/,,1,,,
医療法人英皐会　石田クリニック,大阪市住之江区新北島7-1-53　マンションハピネス,06-4702-3020,,1,1,月・火・木・金・土,9:00～12:00 16:00～18:30,来院受付も可,1,1,,12歳,135.4599661,34.61041587,https://www.ishida-cl.or.jp/,,1,,,
西沢クリニック,大阪市中央区北浜2-3-9　入商八木ビル1階,06-4706-3900,,,1,月～金,14:30～17:00,,,1,,16歳,135.5061459,34.69119318,http://www.chuoku-higashi.osaka.med.or.jp/hospital/cat9/post_51.html,,1,,,
医療法人雲勢会　竹中小児科,大阪市鶴見区今津南1-5-37,06-6967-5871,,,1,月～金,8:30～11:30,,,1,1,12歳,135.5663932,34.68866098,https://www.takenaka-kidscl.com/,,1,,,
医療法人正有会　かただクリニック,大阪市中央区内久宝寺町3-1-13　ハイグレード谷五1階,06-4790-6511,,,1,月・火・木・金,13:00～15:30,,1,1,1,12歳,135.5155953,34.67910948,http://katada-clinic.com/,特になし,1,1,01予約不可能,
医療法人今村クリニック　ＯＢＰ今村クリニック,大阪市中央区城見2-2-22　マルイトOBPビル1階,06-4791-9900,,,1,,,,1,1,1,12歳,135.5323857,34.69421757,http://www.obpmic.com/,,1,,03予約可能,
おおしもクリニック,大阪市福島区福島5-16-15　福島宮脇ビル3階,06-4796-7561,,,1,,,,,1,1,12歳,135.4852812,34.69620487,http://oshimo-clinic.jp/,,1,,,
大阪リウマチ・膠原病クリニック,大阪市中央区南船場4-4-10　辰野心斎橋ビル5階,,,1,,,,,,1,1,12歳,135.4997305,34.67535569,https://osaka-ra-clinic.com/,,1,,,
クリニック小早川,大阪市北区天神橋2-2-23,06-4801-0212,,,1,①月・水・金 ②火・土,①10:30～13:00 15:30～18:00 ②10:30～13:00,,,1,1,,135.5117267,34.69605071,,,1,,,
医療法人牟田会　牟田耳鼻咽喉科医院,大阪市中央区南船場2-5-9,06-6261-5000,,,1,月～金,10:30～12:00 15:30～17:00,,1,1,1,12歳,135.5050891,34.67537193,http://www.mutaent.org/,,1,,03予約可能,
なかき耳鼻科咽喉科,大阪市淀川区塚本2丁目13-28　メゾンインペリアル菅本1階,06-4806-8733,,1,,①月・火・木・金 ②水 ③土,①9:00～12:30 16:00～19:00 ②9:00～12:30 ③9:00～14:00,電話は予約状況の確認のみ,,1,1,12歳,135.4720608,34.71503439,http://www.nakakijibika.com/,,1,,,
おばやしクリニック,大阪市淀川区三国本町3-37-35-305,06-6399-2202,,,1,月～金,11:00～12:00,,,1,1,12歳,135.4836383,34.73706895,https://www.oba-cli.com/,,1,,,
山中医院,大阪市西淀川区歌島1-3-6,06-4808-2558,,1,1,,,,,1,,16歳,135.4650032,34.71344204,https://yamanaka-iin.com/,,1,,,
杉島クリニック,大阪市西淀川区柏里2-4-6,06-4808-3380,,1,1,月・水,9:00～11:30,来院予約の場合、一般の方も受入可,,1,,16歳,135.4678605,34.7102876,https://nishiyodo-med.or.jp/medical_institution/sugishima/,,1,,,
医療法人英樹会　寺脇クリニック,大阪市東淀川区瑞光1-11-3　エムステーションビル1階,06-4809-0006,,1,1,,,予約時に2回目接種日を伺います,,1,,12歳,135.5333925,34.74847059,,,1,,,
AMA Clinic 淡路町院,大阪市中央区淡路町3-2-13　ZeLKOVA QUATTRO 3階,06-4963-3473,,1,1,,,,,1,1,12歳,135.5035375,34.68667026,https://www.ama-clinic.jp/,,1,,,
こもりクリニック,大阪市平野区喜連東1-8-46,06-6105-2560,,,1,,,,,1,1,,135.5595443,34.61533812,http://komori-clinic.com/,,1,,,
さくま診療所,大阪市住之江区緑木1-1-35　植田マンション1階,06-6115-3935,,,1,,,,,1,1,12歳,135.475066,34.62060088,https://www.sakuma-clinic.jp/,,1,,,
坂田血管外科クリニック,大阪市中央区高麗橋一丁目7番3号　The　Kitahama　PLAZA3階,06-6121-2368,,,1,,,当院で接種された高齢者の方に限ります,,1,,,135.5069838,34.689427,https://sakataclinic.com/,,1,,,
梅田ＮＯＲＩ内科・消化器内科クリニック,大阪市北区小松原町3-3　OSビル8階,06-6131-1085,,,1,,診療時間内,一般患者受入可だがかかりつけ優先,1,1,1,16歳,135.5005363,34.70284445,https://noriclinic.net/,,1,,,
医療法人生登会　寺元記念　西天満クリニック,大阪市北区西天満3-13-20　ASビル3階,06-6131-3270,,,1,月～金,9:00～14:00 15:00～17:00,かかりつけの親族、近隣の方等は受入可,,1,,16歳,135.5075281,34.69757722,https://www.nishitenma.dr-clinic.jp/,,1,,,
石上クリニック,大阪市北区中之島3-3-23-2611,06-6131-4506,,,1,月～金,10:00～12:45 15:00～17:30,,,1,,16歳,135.4935458,34.69354512,http://www.ishigamiclinic.com/,,1,,,
小竹医院,大阪市淀川区十三東3-26-15,06-6131-8522,,1,,月・水・金,13:00～15:00,来院の上、申込書記入できる方のみ受付,,1,1,12歳,135.4836815,34.72215789,https://www.kotake-iin13.com/,,1,,,
うつぼＧａｒｄｅｎ　Ｃｌｉｎｉｃ,大阪市西区京町堀1-3-13 辰巳ビル1階,,1,,,,,,,1,1,12歳,135.4970553,34.68711979,https://utsubo-garden-clinic.com/,,1,,,
おおつきクリニック,大阪市淀川区三国本町2-18-30　市岡ビル4階,06-6150-1880,,,1,①月・火・水・金 ②木・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,1,16歳,135.4837975,34.73582556,,,1,,,
ファミリークリニックあい,大阪市淀川区西三国1-3-29　ファルマプランビル2階,06-6150-2051,,,1,平日,14:00～17:00,,,1,1,12歳,135.4907051,34.73993702,https://fc-ai.com/,,1,,,
医療法人正志会　あづま腎透析クリニック,大阪市東淀川区大道南一丁目4番13号,06-6155-6010,,,1,,,かかりつけ患者とその家族までに限ります,,1,,16歳,135.5495704,34.7406204,http://www.shoshikai.or.jp/azuma-c.html,,1,,,
医療法人博仁会　たけ内科クリニック,大阪市城東区鴫野東2-12-17,,,1,,,,詳細はホームページを参照,,1,,,135.5464464,34.69327187,https://takenaika.com/,,1,,,
医療法人社団交鐘会　あおぞら在宅診療所大阪はなてん,大阪市鶴見区今津中1丁目10番19号　大都ハイツ406号室,06-6167-6198,,,1,,,,,1,,,135.5694962,34.6906994,https://aozoraclhp.com/osakahanaten/,,1,,,
にしクリニック,大阪市城東区鴫野西5-1-24　ビエラタウン鴫野　JR鴫野駅NKビル2階,06-6167-7700,1,,1,,,,1,,1,12歳,135.5440469,34.69313361,https://nishi-pain.com/,1月26日空きあり,1,,02若干空き有り,
医療法人翠真会　のえ皮膚科クリニック,大阪市城東区成育一丁目2-30,06-6167-8102,,,1,月・火・木・金,9:30～18:30,,,1,1,12歳,135.541594,34.70551648,https://noe-hifuka.com/,,1,,,
医療法人尚清会　谷本医院,大阪市此花区酉島3-18-22,06-6469-1077,,,1, ①月・火・水・金 ②木・土,①9:00～12:00 17:00～20:00 ②9:00～12:00,,,1,1,12歳,135.4399416,34.68276648,,,1,,01予約不可能,
愛田クリニック,大阪市阿倍野区阿倍野筋5-11-2　アベノサンガビル2階,06-6651-8222,,1,1,,診療時間内,電話予約は診療時間内のみ、来院予約可,1,,1,16歳,135.5106013,34.63855935,https://aida-clinic.com/,,1,,03予約可能,
高橋内科,大阪市城東区鴫野東3-3-23,06-6180-5011,,1,1,,,,,1,,16歳,135.5459868,34.69022644,http://www.takahashi8naika.com/,,1,,,
いわもと内科クリニック,大阪市城東区中浜3-14-15,,,1,,,,1、2回目を当院で接種した方のみ受付可,,1,1,12歳,135.5423947,34.68282766,http://iwamoto-naika.com/,,1,,,
緑樹会かわい内科・胃腸内科クリニック,大阪市都島区都島本通2丁目14-6,06-6180-6600,,,1,月・火・木・金・土,13:00～15:00,,,1,,12歳,135.5245392,34.70861034,http://www.kawai-cl.com/,,1,,,
なごみクリニック,大阪市阿倍野区昭和町2-18-24　佃ビル2階,06-6180-6603,,1,1,①月・金 ②火・木・土(第2、4のみ),①9:00～12:00　13:00～17:00 ②9:00～12:00,,1,,1,12歳,135.5167374,34.63050863,https://nagomi-cl.com/clinic.html,21日（金）、22日（土）に空きあります,1,,03予約可能,
おたきクリニック,大阪市都島区都島北通1-13-13,06-6180-6700,,,1,,診療時間内,,1,1,1,12歳,135.5280685,34.71131858,https://otakiclinic.com/,,1,,,
そがクリニック,大阪市城東区永田3-2-6　フレンドタウン深江橋2階,06-6180-6710,,,1,月・火・水・金,10:00～12:00,,,1,1,,135.5545659,34.68333745,http://www.soga-clinic.com/,,1,,,
服部クリニック,大阪市鶴見区今津北5-11-12　ACLクリニックモール2階,06-6180-8031,,,1,,,,,1,,16歳,135.5814008,34.6935633,https://www.hattori-cl.net/,,1,,,
すみやクリニック,大阪市城東区放出西3-1-4,,,1,,,,,,1,1,12歳,135.55487,34.69161386,http://www.jotoishikai.or.jp/a177/,,1,,,
クローバークリニック,大阪市城東区鴫野西4丁目1番33号　ウェルフェア大阪京橋ビル1階,050-5526-2934,1,,1,月～金,10:00～16:00,予約は専用サイト(当院HP参照),1,1,1,12歳,135.5399357,34.69316224,https://shimadamedicalcorp.com/,,1,,,
つくもクリニック,大阪市城東区古市3丁目8番　プロムナーデ関目第7号棟第106号室,06-6180-9559,,,1,月～土,9:30～16:30,,,1,,,135.5571352,34.7123454,https://tsukumoclinic.wixsite.com/tkmcl,,1,,,
